year,month,searches,search string,search string cleaned,active tab,signed in,on campus,results
2015,1,220,dna,dna,,,,1563870
2015,1,172,retten til eget bilde,retten til eget bilde,,,,290
2015,1,166,curcumin / cancer,curcumin cancer,,,,13716
2015,1,140,heidegger,heidegger,,,,64195
2015,1,132,livertransplantation,livertransplantation,,,,372
2015,1,106,jordskifte,jordskifte,,,,198
2015,1,78,education in pakistan,education in pakistan,,,,13252
2015,1,74,hamsun sult,hamsun sult,,,,112
2015,1,72,international court of justice,international court of justice,,,,15648
2015,1,66,gaetano mosca,gaetano mosca,,,,801
2015,1,66,iran israel eisenhower,iran israel eisenhower,,,,438
2015,1,66,pitt-rivers,pitt rivers,,,,2421
2015,1,64,hudson / michael,hudson michael,,,,305
2015,1,60,"lloyd, lorna",lloyd lorna,,,,114
2015,1,58,"bamford, james",bamford james,,,,3201
2015,1,58,genocide,genocide,,,,14985
2015,1,58,neuroradiology,neuroradiology,,,,11788
2015,1,56,bellah civil religion,bellah civil religion,,,,2132
2015,1,54,allmenn litteratur,allmenn litteratur,,,,314
2015,1,54,"miller, j. hillis",miller j hillis,,,,243
2015,1,52,immunology,immunology,,,,196
2015,1,52,nils lid,nils lid,,,,76
2015,1,52,pedagogisk psykologisk tjeneste,pedagogisk psykologisk tjeneste,,,,189
2015,1,50,permanent court of international justice,permanent court of international justice,,,,6053
2015,1,50,sociologists and homosexuality,sociologists and homosexuality,,,,720
2015,1,48,curcumin / kreft,curcumin kreft,,,,25
2015,1,48,juridification,juridification,,,,1441
2015,1,46,841167435,841167435,,,,79
2015,1,46,church and lesbians,church and lesbians,,,,922
2015,1,46,religion and drugs,religion and drugs,,,,746
2015,1,44,ebola who,ebola who,,,,3007
2015,1,44,political ecology,political ecology,,,,16322
2015,1,42,arts and crafts,arts and crafts,,,,45260
2015,1,42,dommer,dommer,,,,178
2015,1,42,siblings and behavioural,siblings and behavioural,,,,338
2015,1,42,wyller,wyller,,,,295
2015,1,40,haiti,haiti,,,,18276
2015,1,40,italy law,italy law,,,,28554
2015,1,40,"""gaetano mosca""",gaetano mosca,,,,456
2015,1,40,vietnam,vietnam,,,,79315
2015,1,38,barnepsykiatri,barnepsykiatri,,,,194
2015,1,38,gender nation building,gender nation building,,,,1394
2015,1,38,ice proceedings,ice proceedings,,,,9645
