search string cleaned,query type,intended resource,successful,curriculum-related,total searches
atekst,title,database,yes,no,1425
pubmed,title,database,no,no,1221
exphil,topic,book,yes,yes,719
det kvalitative forskningsintervju,title,book,yes,yes,711
nature,title,journal,no,no,669
medical genetics,title,book,yes,_unknown,598
menneskets fysiologi,title,book,yes,yes,540
science,title,journal,no,no,483
spesialpedagogikk,title,_unknown,_unknown,yes,475
lancet,title,journal,yes,no,438
jussens venner,title,journal,yes,no,369
991645464,isbn,book,yes,yes,364
avtalerett,topic,_unknown,_unknown,yes,364
historisk tidsskrift,title,journal,yes,no,349
duo,title,database,no,no,330
kvalitativ metode,topic/title,_unknown,_unknown,yes,311
92422497,_unknown,_unknown,no,_unknown,310
harry potter,title,_unknown,_unknown,no,307
allmennmedisin,title,book,yes,yes,299
lov og rett,title,journal,_unknown,no,295
rettskildelære,title,book,yes,yes,289
introduksjon til samfunnsvitenskapelig metode,title,book,yes,yes,288
aftenposten,title,newspaper,no,no,287
det norske samfunn,title,book,yes,yes,287
dental caries,topic/title,_unknown,_unknown,yes,286
ordnett,title,database,no,no,284
sosialmedisin,title,book,yes,yes,281
big java,title,book,yes,yes,276
neurology,topic/title,_unknown,_unknown,_unknown,276
forvaltningsrett,topic/title,book,yes,yes,264
james carey,author,_unknown,_unknown,no,262
sykdomslære,topic/title,_unknown,_unknown,yes,258
introduksjon til samfunnsvitenskapene,title,book,yes,yes,255
her på berget,title,book,yes,yes,248
morgenbladet,title,newspaper,yes,no,242
arbeidsrett,topic/title,_unknown,_unknown,_unknown,227
tekstanalyse for samfunnsvitere,title,book,yes,yes,218
kalkulus,title,book,yes,yes,212
medisinsk mikrobiologi,title,book,yes,yes,209
web of science,title,database,no,no,209
krimmigrasjon,title,book,yes,yes,208
global and regional treaties,title,book,yes,yes,205
121972348,isbn,book,yes,yes,201
cessio legis,topic,_unknown,_unknown,no,201
raymond williams culture and society,author+title,book,yes,yes,200
systematikk og innlevelse,title,book,yes,yes,198
masteroppgaver,topic,thesis,no,no,197
østbye homer,author+title,book,no,yes,195
raymond williams,author,book,yes,yes,194
jobb kunnskapsbasert,title,book,yes,yes,190
