date,searches,search string,search string cleaned,field searched,search type,active tab,resource type,signed in,on campus,type of query,reason no results,resource,meant,pensum,still 0 res?,spelling suggestion?,notes
8/18/2016,1,"""Zhang K"" / back",zhang k back,creator / any,Keyword / Keyword,default_tab,All items,0,1,author,wrong field,_unknown,,_unknown,no,n/a,
9/25/2015,1,"Fukuyama, F. (2013): What Is Governance? Governance, Vol. 26, No. 3, July 2013 (s. 347–368).",fukuyama f. (2013): what is governance governance vol. 26 no. 3 july 2013 (s. 347–368).,any,,,Not specified,0,,citation,pasted citation,article,,yes,no,n/a,http://www.uio.no/studier/emner/sv/statsvitenskap/STV2400/h14/pensumliste/
6/8/2016,1,9781474248303,9781474248303,any,,default_tab,All items,0,1,isbn,wrong scope,book,WorldCALL: Sustainability and Computer-Assisted Language Learning,no,yes,n/a,
7/6/2016,1,basic immubology,basic immubology,any,,default_tab,All items,0,1,title,misspelling,book,,yes,yes,yes,https://www.ub.uio.no/fag/medisin/ressurser/litteratur/medisin/modul-1.html
2/17/2016,2,978-147996410-9,978 147996410 9,isbn,Keyword,library_catalogue,All items,0,2,isbn,query syntax,book,,no,yes,n/a,"query syntax doesn't work when from Primo Central, also: wrong scope"
8/7/2016,2,Endurance running. A socio-cultural perspective / Bridle,endurance running. a socio cultural perspective bridle,title / creator,Keyword / Keyword,default_tab,All items,2,0,title,misspelling,book,Endurance Running: A Socio-Cultural Examination,no,yes,no,book is in catalog
6/24/2016,1,Med J Aust,med j aust,any,,default_tab,All items,0,1,title,_unknown,journal,Medical Journal of Australia,no,no,n/a,
9/22/2015,4,Bennett,bennett,any / any / any / any,,,Not specified,0,,author,_unknown,_unknown,,_unknown,no,n/a,
6/21/2016,1,"Solhaug, (2006). Kapittel 13: Strategisk læring i samfunnsfag. I",solhaug (2006). kapittel 13: strategisk læring i samfunnsfag. i,any,,default_tab,All items,0,1,citation,pasted citation,book chapter,,yes,yes,n/a,https://www.uio.no/studier/emner/uv/ils/PPU3310L/v15/pensumliste/samfunnskunnskap.html
7/16/2016,1,Folk er vanligvis ikke særlig villige til å snakke om de døde,folk er vanligvis ikke særlig villige til å snakke om de døde,any,,library_catalogue,All items,0,0,title,not indexed,article,,no,yes,n/a,"Oria suggest that you can search for article titles, but this specific article title didn't work because the journal was not indexed in Primo Central..."
